campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
Conversions,LinkedIn,Feed,Mobile,macOS,Carousel,True,Urgency,57,55-64,Female,Health & Fitness,$100K-$200K,High,False,2025-09-05,1,79,3,12.35,40630,244,9,3013.4,3788.0,42.59,High,0.601,12.35,3.689,334.82,1.26,774.6
Lead Generation,Google Ads,In-Stream Video,Mobile,Windows,Text,True,Joy,62,18-24,Male,Tech Enthusiasts,>$200K,High,True,2024-07-01,0,18,6,2.25,10403,100,6,225.0,2155.36,36.55,Low,0.961,2.25,6.0,37.5,9.58,1930.36
Lead Generation,Twitter,Stories,Mobile,macOS,Video,True,Trust,13,35-44,All,Gamers,<$50K,Medium,False,2024-11-09,7,50,7,2.0,15807,1264,67,2528.0,15242.66,74.24,Medium,7.996,2.0,5.301,37.73,6.03,12714.66
Conversions,Google Ads,In-Stream Video,Mobile,iOS,Video,False,Curiosity,42,18-24,Female,Health & Fitness,$50K-$100K,High,False,2025-06-06,18,11,4,9.38,62559,1581,89,14829.78,28442.99,40.19,Medium,2.527,9.38,5.629,166.63,1.92,13613.21
Conversions,Facebook,Search,Mobile,iOS,Image,False,Fear,68,35-44,All,Students,$100K-$200K,Medium,False,2025-09-30,12,26,4,2.94,79522,666,13,1958.04,5760.83,46.77,Low,0.838,2.94,1.952,150.62,2.94,3802.79
Conversions,LinkedIn,Feed,Mobile,macOS,Image,True,Fear,62,35-44,Male,Health & Fitness,>$200K,Medium,False,2024-06-01,9,59,5,4.02,24015,411,10,1652.22,5277.16,66.49,Medium,1.711,4.02,2.433,165.22,3.19,3624.94
Engagement,Facebook,Feed,Tablet,Other,Text,True,Curiosity,86,45-54,Female,Business Professionals,>$200K,Low,False,2025-07-01,7,1,5,1.91,57739,337,1,643.67,680.52,65.76,Medium,0.584,1.91,0.297,643.67,1.06,36.85
Conversions,Google Ads,Search,Desktop,iOS,Image,True,Fear,56,35-44,Male,Students,$50K-$100K,High,True,2025-04-23,1,10,6,2.21,23786,315,74,696.15,22637.43,27.51,Low,1.324,2.21,23.492,9.41,32.52,21941.28
App Installs,Google Ads,Stories,Desktop,Android,Image,True,Trust,53,25-34,Male,Students,<$50K,Low,True,2025-10-30,2,53,8,5.48,23831,912,102,4997.76,12695.59,72.57,Low,3.827,5.48,11.184,49.0,2.54,7697.83
Conversions,LinkedIn,Stories,Desktop,Android,Video,True,Trust,40,25-34,Male,Business Professionals,<$50K,Medium,False,2025-07-12,15,45,7,7.63,56641,655,60,4997.65,10522.6,44.07,Low,1.156,7.63,9.16,83.29,2.11,5524.95
Engagement,Instagram,Search,Mobile,Other,Video,True,Trust,27,35-44,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2025-02-28,19,61,5,1.03,46844,818,8,842.54,1966.39,59.77,Medium,1.746,1.03,0.978,105.32,2.33,1123.85
Lead Generation,LinkedIn,Search,Mobile,Windows,Text,True,Urgency,44,18-24,Female,Gamers,$50K-$100K,Low,True,2024-09-03,22,41,7,10.26,27782,464,8,4760.64,1934.87,54.04,Low,1.67,10.26,1.724,595.08,0.41,-2825.77
Lead Generation,Google Ads,Search,Mobile,Android,Carousel,False,Urgency,58,18-24,Male,Shoppers,$50K-$100K,Medium,False,2024-08-24,23,30,4,3.95,23328,474,10,1872.3,2614.55,79.7,Low,2.032,3.95,2.11,187.23,1.4,742.25
Conversions,Facebook,Feed,Desktop,Android,Image,True,Joy,66,25-34,Female,Health & Fitness,$50K-$100K,Medium,False,2025-09-26,2,29,4,0.8,6120,69,4,55.2,755.43,47.86,Medium,1.127,0.8,5.797,13.8,13.69,700.23
Brand Awareness,Twitter,In-Stream Video,Desktop,iOS,Image,True,Curiosity,39,25-34,Female,Business Professionals,<$50K,Medium,False,2024-07-15,11,33,7,2.39,7291,201,3,480.39,329.69,54.0,Low,2.757,2.39,1.493,160.13,0.69,-150.7
Conversions,Google Ads,Display Network,Desktop,Windows,Video,False,Urgency,27,18-24,Female,Business Professionals,$50K-$100K,Medium,False,2025-02-05,11,8,6,4.03,64653,1240,37,4997.2,8421.72,58.67,Low,1.918,4.03,2.984,135.06,1.69,3424.52
Brand Awareness,Instagram,Feed,Desktop,Windows,Image,True,Joy,34,25-34,All,Business Professionals,>$200K,Medium,False,2024-10-07,5,74,8,3.18,41351,1572,34,4998.96,9618.44,61.76,Low,3.802,3.18,2.163,147.03,1.92,4619.48
Conversions,TikTok,Search,Mobile,Windows,Video,True,Fear,28,45-54,Male,Business Professionals,$50K-$100K,Medium,True,2026-01-05,21,40,6,0.34,12533,331,6,112.54,1202.84,64.99,Medium,2.641,0.34,1.813,18.76,10.69,1090.3
App Installs,TikTok,Feed,Desktop,Android,Carousel,True,Trust,35,45-54,Male,Tech Enthusiasts,>$200K,Medium,False,2026-01-06,17,38,6,1.15,57436,1166,29,1340.9,7880.5,49.99,Medium,2.03,1.15,2.487,46.24,5.88,6539.6
Conversions,Facebook,Search,Desktop,macOS,Image,True,Joy,22,18-24,All,Students,$50K-$100K,Medium,False,2025-07-07,13,78,7,0.97,88754,3182,96,3086.54,12992.95,51.63,Low,3.585,0.97,3.017,32.15,4.21,9906.41
Conversions,TikTok,Search,Desktop,Android,Image,True,Curiosity,36,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2024-09-18,16,60,6,0.9,15949,473,39,425.7,4643.58,24.5,Medium,2.966,0.9,8.245,10.92,10.91,4217.88
Conversions,Facebook,Search,Desktop,iOS,Carousel,False,Fear,16,55-64,Female,Students,$100K-$200K,Medium,False,2024-09-18,0,38,6,1.64,121073,3159,71,5180.76,30391.16,43.75,High,2.609,1.64,2.248,72.97,5.87,25210.4
Conversions,Google Ads,Search,Mobile,macOS,Carousel,False,Urgency,37,25-34,Male,Tech Enthusiasts,$50K-$100K,Low,False,2025-08-25,10,88,7,2.32,21610,680,3,1577.6,902.3,83.84,Medium,3.147,2.32,0.441,525.87,0.57,-675.3
Lead Generation,Facebook,Search,Desktop,Windows,Image,False,Joy,3,35-44,Female,Health & Fitness,>$200K,Medium,False,2025-04-04,20,46,4,3.97,93798,1507,52,5982.79,15169.43,39.61,Medium,1.607,3.97,3.451,115.05,2.54,9186.64
Lead Generation,Instagram,Stories,Mobile,Windows,Carousel,True,Curiosity,78,35-44,All,Business Professionals,$50K-$100K,Medium,False,2024-09-21,8,9,5,3.14,234470,3804,76,11944.56,17923.28,44.58,Medium,1.622,3.14,1.998,157.17,1.5,5978.72
Lead Generation,Facebook,Feed,Mobile,Windows,Image,False,Neutral,45,45-54,Female,Health & Fitness,$100K-$200K,Medium,False,2024-04-02,14,28,4,1.39,46706,384,4,533.76,1697.78,68.41,Medium,0.822,1.39,1.042,133.44,3.18,1164.02
Conversions,LinkedIn,Display Network,Desktop,Windows,Video,False,Trust,60,25-34,All,Students,<$50K,Low,True,2025-05-13,8,44,6,6.21,104417,3210,148,19934.1,14856.76,60.21,High,3.074,6.21,4.611,134.69,0.75,-5077.34
Engagement,LinkedIn,Sidebar,Desktop,Android,Video,False,Urgency,90,55-64,Female,Gamers,$50K-$100K,Low,True,2025-09-10,16,42,3,5.18,34084,405,10,2097.9,1152.91,70.95,Medium,1.188,5.18,2.469,209.79,0.55,-944.99
Lead Generation,Google Ads,Stories,Mobile,Android,Image,True,Trust,49,25-34,Female,Tech Enthusiasts,$100K-$200K,High,True,2025-05-02,4,65,10,1.2,58666,1039,43,1246.8,16715.9,33.09,Medium,1.771,1.2,4.139,29.0,13.41,15469.1
Lead Generation,Google Ads,Search,Mobile,iOS,Video,True,Joy,66,18-24,Male,Shoppers,<$50K,Medium,False,2024-05-21,3,75,3,5.36,195249,932,23,4995.52,4290.43,59.97,Low,0.477,5.36,2.468,217.2,0.86,-705.09
App Installs,Facebook,Stories,Mobile,Windows,Text,True,Joy,79,45-54,All,Business Professionals,<$50K,Low,False,2024-06-15,18,72,6,2.6,14203,107,0,278.2,0.0,85.48,Low,0.753,2.6,0.0,0.0,0.0,-278.2
Conversions,Google Ads,Feed,Mobile,Windows,Text,False,Fear,86,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,False,2025-09-22,10,5,4,5.16,134985,546,6,2817.36,2438.95,52.98,Medium,0.404,5.16,1.099,469.56,0.87,-378.41
Lead Generation,LinkedIn,Search,Desktop,Android,Carousel,True,Trust,84,25-34,Male,Tech Enthusiasts,$50K-$100K,Low,True,2025-05-29,9,7,4,10.02,5000,81,5,811.62,1256.24,58.63,Medium,1.62,10.02,6.173,162.32,1.55,444.62
Conversions,Google Ads,Search,Mobile,Android,Story,False,Fear,1,25-34,All,Gamers,<$50K,Low,True,2024-04-10,23,52,5,4.98,36990,727,10,3620.46,1981.88,74.83,Low,1.965,4.98,1.376,362.05,0.55,-1638.58
Brand Awareness,Google Ads,Stories,Desktop,iOS,Image,True,Trust,29,18-24,All,Business Professionals,$50K-$100K,Low,False,2024-03-29,8,60,7,2.42,32504,777,6,1880.34,1819.66,60.48,High,2.39,2.42,0.772,313.39,0.97,-60.68
Conversions,Twitter,Stories,Mobile,Android,Story,True,Joy,75,35-44,Female,Business Professionals,<$50K,Low,False,2025-03-23,5,89,6,2.73,5000,97,0,264.81,0.0,62.66,High,1.94,2.73,0.0,0.0,0.0,-264.81
Brand Awareness,Facebook,Sidebar,Mobile,Windows,Video,True,Urgency,51,35-44,Female,Tech Enthusiasts,<$50K,Medium,False,2025-08-25,12,68,7,0.67,138124,2757,9,1847.19,1461.26,73.76,Medium,1.996,0.67,0.326,205.24,0.79,-385.93
Lead Generation,Google Ads,Sidebar,Tablet,iOS,Image,False,Curiosity,46,35-44,Female,Business Professionals,$50K-$100K,High,False,2025-09-02,0,78,4,5.25,500000,3566,100,18721.5,13970.34,13.3,Medium,0.713,5.25,2.804,187.22,0.75,-4751.16
Lead Generation,Facebook,Feed,Mobile,iOS,Video,False,Trust,7,45-54,Male,Students,$50K-$100K,Medium,False,2025-07-18,3,70,5,1.91,468075,10471,60,19999.61,20222.43,62.22,Medium,2.237,1.91,0.573,333.33,1.01,222.82
Conversions,Google Ads,Feed,Desktop,Android,Video,True,Fear,61,25-34,Female,Business Professionals,<$50K,High,True,2024-07-21,13,42,3,5.0,7585,191,47,955.0,10684.82,27.07,Medium,2.518,5.0,24.607,20.32,11.19,9729.82
Conversions,Facebook,Search,Desktop,Android,Carousel,True,Joy,65,55-64,Female,Students,$100K-$200K,High,False,2024-03-14,23,48,5,1.84,158751,1918,137,3529.12,23274.85,31.56,Medium,1.208,1.84,7.143,25.76,6.6,19745.73
Lead Generation,Google Ads,Sidebar,Mobile,Windows,Interactive,True,Urgency,77,18-24,All,Tech Enthusiasts,$50K-$100K,Low,False,2026-01-25,13,16,4,5.26,17153,233,7,1225.58,1690.72,59.79,Low,1.358,5.26,3.004,175.08,1.38,465.14
Lead Generation,Facebook,In-Stream Video,Mobile,Windows,Image,True,Urgency,17,18-24,All,Business Professionals,<$50K,Medium,False,2025-01-23,11,79,7,1.84,60059,1480,18,2723.2,1661.32,59.95,High,2.464,1.84,1.216,151.29,0.61,-1061.88
Conversions,Twitter,In-Stream Video,Desktop,iOS,Video,True,Trust,27,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-05-09,5,34,5,2.21,8235,350,14,773.5,2754.14,49.42,Medium,4.25,2.21,4.0,55.25,3.56,1980.64
Conversions,Facebook,Stories,Mobile,Android,Carousel,False,Urgency,21,45-54,Female,Students,$50K-$100K,High,False,2024-01-22,14,78,5,3.98,238659,2479,36,9866.42,4322.09,35.62,Medium,1.039,3.98,1.452,274.07,0.44,-5544.33
Lead Generation,Facebook,Feed,Mobile,Android,Image,True,Urgency,84,18-24,Male,Tech Enthusiasts,>$200K,Low,True,2025-08-18,13,20,6,3.24,19125,309,4,1001.16,2295.59,71.15,Low,1.616,3.24,1.294,250.29,2.29,1294.43
Conversions,Google Ads,Feed,Mobile,Android,Interactive,True,Fear,64,25-34,Male,Business Professionals,$50K-$100K,Medium,False,2024-08-24,20,13,7,3.66,8945,325,5,1189.5,1039.05,68.4,Medium,3.633,3.66,1.538,237.9,0.87,-150.45
App Installs,Twitter,Stories,Mobile,macOS,Image,False,Urgency,37,25-34,Male,Shoppers,$50K-$100K,Low,False,2025-12-25,10,54,4,1.13,93479,3574,23,4038.62,4243.06,77.01,Medium,3.823,1.13,0.644,175.59,1.05,204.44
Conversions,Google Ads,Search,Desktop,iOS,Interactive,False,Neutral,14,18-24,Female,Shoppers,>$200K,High,False,2024-08-26,11,82,3,4.92,18732,295,24,1451.4,14116.83,25.68,Medium,1.575,4.92,8.136,60.48,9.73,12665.43
Brand Awareness,Facebook,Feed,Mobile,Windows,Text,True,Joy,59,65+,Female,Shoppers,$50K-$100K,Low,False,2024-06-23,17,31,6,3.43,363233,2916,13,10001.88,3044.34,78.95,High,0.803,3.43,0.446,769.38,0.3,-6957.54
Lead Generation,Google Ads,Feed,Desktop,iOS,Image,True,Joy,7,25-34,All,Tech Enthusiasts,$50K-$100K,Low,False,2024-04-16,12,10,6,2.58,27457,631,23,1627.98,4850.98,58.41,Low,2.298,2.58,3.645,70.78,2.98,3223.0
Conversions,Google Ads,Feed,Tablet,Android,Image,False,Fear,43,25-34,Female,Business Professionals,>$200K,Low,False,2025-12-06,13,63,5,3.04,21166,911,51,2769.44,34564.29,43.21,Low,4.304,3.04,5.598,54.3,12.48,31794.85
Lead Generation,Instagram,Stories,Mobile,Android,Image,True,Curiosity,24,25-34,Female,Gamers,$50K-$100K,Medium,False,2024-07-15,8,55,6,1.6,269288,4095,58,6552.0,10280.13,58.36,High,1.521,1.6,1.416,112.97,1.57,3728.13
Brand Awareness,Twitter,Feed,Mobile,macOS,Text,True,Joy,35,25-34,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2025-08-13,7,13,6,1.22,11327,118,0,143.96,0.0,67.23,Low,1.042,1.22,0.0,0.0,0.0,-143.96
Brand Awareness,Instagram,Search,Mobile,Windows,Carousel,True,Trust,41,65+,Male,Gamers,<$50K,High,False,2024-05-29,0,48,7,2.31,7977,174,3,401.94,370.41,29.17,Low,2.181,2.31,1.724,133.98,0.92,-31.53
Brand Awareness,Instagram,Feed,Mobile,macOS,Story,True,Fear,50,25-34,All,Business Professionals,<$50K,Medium,False,2025-11-09,3,3,7,2.47,98650,2024,21,4999.28,3225.17,77.1,Low,2.052,2.47,1.038,238.06,0.65,-1774.11
Brand Awareness,Facebook,In-Stream Video,Desktop,Windows,Text,False,Urgency,76,35-44,All,Business Professionals,<$50K,Low,False,2025-03-28,11,22,7,1.73,95702,835,11,1444.55,2146.92,58.45,Medium,0.873,1.73,1.317,131.32,1.49,702.37
Lead Generation,LinkedIn,Feed,Desktop,Android,Video,True,Joy,82,35-44,Male,Gamers,$100K-$200K,Low,True,2024-05-04,13,34,6,6.34,18530,722,39,4577.48,16860.59,73.72,Medium,3.896,6.34,5.402,117.37,3.68,12283.11
Engagement,Google Ads,Feed,Desktop,iOS,Image,False,Joy,74,35-44,Female,Business Professionals,<$50K,Low,False,2025-09-26,7,36,3,2.97,55860,336,6,997.92,1525.43,55.11,Low,0.602,2.97,1.786,166.32,1.53,527.51
Lead Generation,Google Ads,Feed,Tablet,iOS,Interactive,True,Curiosity,62,55-64,Male,Gamers,$100K-$200K,Low,False,2025-04-07,15,17,5,5.14,18141,151,3,776.14,1116.05,65.4,Medium,0.832,5.14,1.987,258.71,1.44,339.91
Lead Generation,Facebook,Feed,Desktop,iOS,Text,True,Joy,90,45-54,Female,Business Professionals,$50K-$100K,Medium,False,2025-10-03,7,17,3,2.08,14380,168,25,349.44,5681.29,24.63,Low,1.168,2.08,14.881,13.98,16.26,5331.85
Lead Generation,Twitter,Feed,Mobile,iOS,Story,True,Neutral,88,18-24,All,Shoppers,<$50K,Low,False,2025-08-04,7,16,5,2.74,266114,3056,33,8373.44,8370.09,75.59,High,1.148,2.74,1.08,253.74,1.0,-3.35
Lead Generation,TikTok,Display Network,Desktop,iOS,Image,True,Curiosity,52,25-34,All,Business Professionals,$50K-$100K,Medium,False,2024-04-14,14,80,5,1.36,32454,748,31,1017.28,10577.87,41.01,Medium,2.305,1.36,4.144,32.82,10.4,9560.59
Conversions,Facebook,Display Network,Desktop,Android,Video,True,Urgency,6,35-44,Female,Tech Enthusiasts,$50K-$100K,Low,True,2024-06-18,22,63,6,2.37,5000,173,8,410.01,1298.54,66.36,Low,3.46,2.37,4.624,51.25,3.17,888.53
Lead Generation,Facebook,Search,Mobile,Windows,Image,True,Urgency,9,45-54,Female,Tech Enthusiasts,$100K-$200K,High,False,2024-05-28,7,67,8,2.17,25566,436,13,946.12,6274.68,59.1,High,1.705,2.17,2.982,72.78,6.63,5328.56
Engagement,LinkedIn,Display Network,Desktop,iOS,Interactive,False,Trust,59,35-44,Female,Tech Enthusiasts,$50K-$100K,Low,False,2024-06-10,0,75,4,7.01,43098,569,5,3988.69,1105.52,45.65,Low,1.32,7.01,0.879,797.74,0.28,-2883.17
Lead Generation,Google Ads,Search,Mobile,Windows,Video,True,Joy,12,18-24,Male,Business Professionals,<$50K,Medium,False,2025-07-30,21,18,6,6.4,8181,237,5,1516.8,608.99,69.67,Medium,2.897,6.4,2.11,303.36,0.4,-907.81
Lead Generation,Google Ads,Stories,Desktop,iOS,Image,True,Trust,27,18-24,All,Gamers,$100K-$200K,Medium,False,2026-01-27,16,7,4,4.45,15432,245,15,1090.25,7153.11,22.81,Medium,1.588,4.45,6.122,72.68,6.56,6062.86
Conversions,LinkedIn,Display Network,Desktop,Android,Video,True,Urgency,45,45-54,Male,Students,$100K-$200K,High,True,2024-01-30,19,77,4,7.5,20061,404,55,3030.0,16798.52,27.14,Low,2.014,7.5,13.614,55.09,5.54,13768.52
Brand Awareness,Facebook,Feed,Mobile,Other,Image,True,Curiosity,56,25-34,Female,Students,$50K-$100K,Low,False,2024-08-07,17,62,6,3.17,7797,82,0,259.94,0.0,77.32,Medium,1.052,3.17,0.0,0.0,0.0,-259.94
Conversions,Google Ads,Search,Desktop,Android,Carousel,True,Joy,85,45-54,Male,Tech Enthusiasts,$50K-$100K,Low,True,2025-06-11,18,9,5,4.39,41045,542,18,2379.38,4974.29,84.31,Medium,1.321,4.39,3.321,132.19,2.09,2594.91
Engagement,Google Ads,Display Network,Mobile,Android,Video,False,Curiosity,13,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2026-01-06,12,75,7,3.26,13360,332,2,1082.32,321.42,54.71,Low,2.485,3.26,0.602,541.16,0.3,-760.9
Conversions,Google Ads,Feed,Mobile,iOS,Carousel,True,Urgency,16,18-24,All,Health & Fitness,$100K-$200K,Medium,True,2024-06-24,8,2,8,2.04,10699,488,9,995.52,2598.19,60.75,Low,4.561,2.04,1.844,110.61,2.61,1602.67
Conversions,LinkedIn,Search,Mobile,Windows,Image,True,Curiosity,18,18-24,All,Tech Enthusiasts,$50K-$100K,Medium,True,2024-05-14,7,34,7,8.85,9566,184,5,1628.4,651.22,72.41,Medium,1.923,8.85,2.717,325.68,0.4,-977.18
Conversions,Facebook,Feed,Desktop,Windows,Image,False,Joy,35,18-24,Male,Health & Fitness,<$50K,Medium,True,2024-07-11,11,58,7,2.65,8281,210,6,556.5,1180.58,33.01,Low,2.536,2.65,2.857,92.75,2.12,624.08
Brand Awareness,Google Ads,Display Network,Mobile,macOS,Video,False,Urgency,22,45-54,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2025-02-18,16,53,6,1.75,102881,1575,13,2756.25,2598.98,59.55,Medium,1.531,1.75,0.825,212.02,0.94,-157.27
Engagement,Facebook,Search,Tablet,Windows,Text,True,Neutral,6,35-44,Female,Business Professionals,<$50K,Medium,True,2024-07-25,15,83,7,3.48,6493,63,0,219.24,0.0,45.16,Low,0.97,3.48,0.0,0.0,0.0,-219.24
Lead Generation,LinkedIn,Feed,Mobile,Other,Video,True,Trust,17,55-64,Female,Students,$100K-$200K,High,False,2025-09-21,6,53,5,11.19,10590,276,10,3088.44,3030.4,31.81,Low,2.606,11.19,3.623,308.84,0.98,-58.04
Brand Awareness,Twitter,Stories,Desktop,Windows,Video,True,Joy,86,18-24,Male,Business Professionals,<$50K,High,False,2024-09-14,7,34,4,1.48,23615,811,27,1200.28,3906.46,46.64,High,3.434,1.48,3.329,44.45,3.25,2706.18
Conversions,Google Ads,Stories,Tablet,iOS,Image,False,Joy,24,25-34,All,Gamers,<$50K,Low,False,2024-01-14,3,58,7,3.45,38553,688,7,2373.6,673.98,67.67,Medium,1.785,3.45,1.017,339.09,0.28,-1699.62
Brand Awareness,LinkedIn,In-Stream Video,Tablet,iOS,Story,False,Urgency,88,25-34,All,Tech Enthusiasts,<$50K,High,False,2024-12-31,11,78,4,5.35,11666,302,8,1615.7,2177.08,11.44,Medium,2.589,5.35,2.649,201.96,1.35,561.38
Lead Generation,Google Ads,Feed,Desktop,Other,Video,True,Joy,7,25-34,Male,Gamers,<$50K,Low,False,2024-06-12,13,26,6,4.31,63051,2538,87,10938.78,18960.4,71.41,Medium,4.025,4.31,3.428,125.73,1.73,8021.62
Lead Generation,Facebook,Stories,Mobile,macOS,Video,False,Joy,41,65+,Male,Business Professionals,$50K-$100K,Medium,False,2024-04-19,18,77,5,2.21,20573,306,1,676.26,130.2,63.37,Low,1.487,2.21,0.327,676.26,0.19,-546.06
Brand Awareness,TikTok,Search,Mobile,Windows,Image,False,Urgency,75,18-24,All,Students,>$200K,Medium,True,2025-06-09,19,39,5,1.7,500000,7941,80,13499.7,24001.86,45.57,Medium,1.588,1.7,1.007,168.75,1.78,10502.16
Conversions,TikTok,Stories,Tablet,Android,Interactive,True,Curiosity,54,55-64,All,Business Professionals,$100K-$200K,Low,False,2025-01-06,19,26,7,1.05,105464,1119,8,1174.95,2771.93,60.41,Low,1.061,1.05,0.715,146.87,2.36,1596.98
Conversions,Twitter,Search,Mobile,Android,Video,True,Fear,13,25-34,Male,Health & Fitness,$50K-$100K,Low,True,2025-05-18,16,82,8,1.47,8757,700,13,1029.0,3296.79,90.0,Medium,7.994,1.47,1.857,79.15,3.2,2267.79
Brand Awareness,Google Ads,Search,Mobile,macOS,Video,False,Trust,25,18-24,All,Business Professionals,$50K-$100K,Medium,True,2024-06-01,21,7,4,3.7,500000,13513,170,49998.1,34738.8,60.83,High,2.703,3.7,1.258,294.11,0.69,-15259.3
Lead Generation,Google Ads,In-Stream Video,Mobile,iOS,Text,True,Trust,60,35-44,All,Shoppers,$100K-$200K,High,True,2025-06-10,2,38,7,2.28,60189,531,47,1210.68,10493.85,54.29,Medium,0.882,2.28,8.851,25.76,8.67,9283.17
Conversions,TikTok,Stories,Desktop,macOS,Carousel,False,Curiosity,74,55-64,All,Shoppers,$50K-$100K,Medium,False,2025-10-14,14,20,5,1.63,38550,1102,110,1796.26,17414.21,32.76,Medium,2.859,1.63,9.982,16.33,9.69,15617.95
Lead Generation,LinkedIn,Search,Desktop,Other,Carousel,True,Curiosity,13,25-34,Male,Shoppers,$100K-$200K,Low,True,2025-09-11,14,2,5,4.91,33344,1062,41,5214.42,13192.3,44.96,Medium,3.185,4.91,3.861,127.18,2.53,7977.88
Brand Awareness,Google Ads,Sidebar,Mobile,Windows,Text,False,Trust,72,25-34,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2025-04-08,10,71,4,6.55,32893,174,1,1139.7,318.46,51.89,Medium,0.529,6.55,0.575,1139.7,0.28,-821.24
Lead Generation,Facebook,Stories,Mobile,Android,Video,True,Urgency,75,35-44,Male,Tech Enthusiasts,<$50K,High,False,2025-04-09,5,64,5,1.16,35867,754,20,874.64,4036.56,31.0,Medium,2.102,1.16,2.653,43.73,4.62,3161.92
Brand Awareness,LinkedIn,Search,Desktop,Android,Video,True,Curiosity,48,55-64,Female,Students,<$50K,Medium,False,2025-10-07,22,53,6,8.35,125015,2395,137,19998.25,27347.26,39.19,Medium,1.916,8.35,5.72,145.97,1.37,7349.01
Engagement,Google Ads,Sidebar,Desktop,Windows,Image,False,Neutral,41,35-44,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2025-10-23,8,66,4,6.76,66703,2374,119,16048.24,38940.18,36.85,Medium,3.559,6.76,5.013,134.86,2.43,22891.94
Lead Generation,Twitter,Stories,Desktop,Windows,Video,True,Urgency,40,35-44,Male,Business Professionals,$100K-$200K,Medium,False,2024-11-15,14,41,5,1.89,6131,360,44,680.4,18287.99,54.08,Low,5.872,1.89,12.222,15.46,26.88,17607.59
Brand Awareness,Facebook,Display Network,Mobile,macOS,Image,True,Curiosity,87,35-44,Male,Tech Enthusiasts,$50K-$100K,High,False,2024-05-01,6,12,7,0.55,32851,387,5,212.85,890.28,38.51,Low,1.178,0.55,1.292,42.57,4.18,677.43
Lead Generation,Google Ads,Feed,Tablet,Windows,Text,False,Joy,41,35-44,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-01-23,22,31,4,2.15,48297,308,3,662.2,735.74,77.7,Medium,0.638,2.15,0.974,220.73,1.11,73.54
Lead Generation,Facebook,Feed,Desktop,iOS,Video,True,Urgency,82,18-24,Male,Shoppers,>$200K,Low,False,2025-03-28,16,77,3,2.03,238443,2576,54,5229.28,12872.4,77.99,High,1.08,2.03,2.096,96.84,2.46,7643.12
Conversions,TikTok,Stories,Desktop,iOS,Video,False,Curiosity,37,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2024-07-08,3,85,7,0.31,28388,1976,36,612.56,6208.88,50.01,Medium,6.961,0.31,1.822,17.02,10.14,5596.32
Conversions,LinkedIn,Search,Mobile,iOS,Text,False,Joy,61,65+,All,Students,$100K-$200K,Low,False,2025-04-24,21,60,3,7.69,135441,451,4,3468.19,1823.63,66.9,High,0.333,7.69,0.887,867.05,0.53,-1644.56
Lead Generation,Google Ads,Display Network,Mobile,iOS,Carousel,False,Joy,67,35-44,Female,Tech Enthusiasts,$50K-$100K,Medium,True,2025-09-11,1,12,6,3.69,54298,681,12,2512.89,2828.41,61.21,Low,1.254,3.69,1.762,209.41,1.13,315.52
Conversions,LinkedIn,Feed,Mobile,Android,Text,False,Trust,28,35-44,Male,Business Professionals,<$50K,Medium,False,2024-02-10,12,84,4,7.07,61331,482,4,3407.74,896.14,63.59,Medium,0.786,7.07,0.83,851.94,0.26,-2511.6
Lead Generation,TikTok,Stories,Mobile,Windows,Carousel,True,Neutral,59,55-64,All,Business Professionals,$50K-$100K,Low,True,2025-03-05,15,56,7,1.92,20029,240,2,460.8,410.68,62.44,Medium,1.198,1.92,0.833,230.4,0.89,-50.12
Lead Generation,Google Ads,Feed,Desktop,iOS,Image,True,Trust,28,25-34,All,Gamers,<$50K,Medium,False,2024-03-26,9,18,7,5.32,16489,326,22,1734.32,4937.67,56.44,Medium,1.977,5.32,6.748,78.83,2.85,3203.35
Engagement,TikTok,Search,Mobile,iOS,Image,False,Trust,34,45-54,All,Students,<$50K,Medium,False,2024-08-11,22,61,7,1.14,5000,118,0,134.52,0.0,62.68,Low,2.36,1.14,0.0,0.0,0.0,-134.52
Conversions,Google Ads,In-Stream Video,Mobile,iOS,Image,True,Urgency,58,65+,Male,Gamers,$50K-$100K,Low,False,2024-09-26,23,53,5,2.13,71879,441,4,939.33,840.95,80.6,High,0.614,2.13,0.907,234.83,0.9,-98.38
