campaign_objective,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,roas,conversion_rate_calc,platform_Google Ads,platform_Instagram,platform_LinkedIn,platform_TikTok,platform_Twitter
Conversions,Feed,Tablet,Other,Image,True,Trust,10,25-34,Male,Shoppers,<$50K,Medium,False,2025-05-31,3,27,5,1.58,-0.45525137559011464,636,-0.17927549906998147,-0.46767942286043923,3888.26,51.85,Low,2.566,-0.6885902869649517,0.1392103470992806,41.87,3.87,2883.38,3.8693774381020622,0.03773584905660377,False,False,False,False,True
Conversions,Feed,Desktop,macOS,Carousel,True,Joy,31,45-54,Female,Gamers,>$200K,High,False,2024-04-15,20,51,7,1.13,-0.48220424561016284,675,0.9450545341230558,-0.5184109720573807,19136.8,27.1,Medium,2.978,-0.8728445887361674,1.9922205754469726,10.45,25.09,18374.05,25.089216650278598,0.10814814814814815,False,False,False,False,False
Lead Generation,Search,Tablet,Android,Interactive,True,Joy,24,25-34,All,Tech Enthusiasts,<$50K,Low,False,2024-07-18,14,71,7,1.39,2.921592672788772,10102,0.6008718709006975,2.263837257128025,9136.7,73.33,Medium,3.476,-0.7663865477127983,-0.7029474047417384,242.1,0.65,-4905.08,0.6506796146927242,0.005741437339140764,False,False,False,False,True
Lead Generation,Search,Mobile,iOS,Video,True,Joy,83,35-44,Female,Business Professionals,>$200K,Low,True,2025-08-23,11,57,7,6.98,-0.6543368066430061,243,-0.6381857166997926,-0.3228452812923651,1171.72,79.83,Low,2.666,1.522461334289636,-0.42082455787499706,424.04,0.69,-524.42,0.6908156166354192,0.01646090534979424,False,False,True,False,False
App Installs,In-Stream Video,Mobile,Windows,Image,True,Curiosity,34,18-24,All,Business Professionals,$50K-$100K,Low,False,2025-05-04,22,51,7,1.16,-0.6857098457332601,293,-0.7070222493442643,-0.6070115180818745,266.11,70.57,Medium,4.41,-0.8605609686180865,-0.7642670160476626,339.88,0.78,-73.77,0.782952806873014,0.0034129692832764505,False,False,False,False,True
Brand Awareness,Display Network,Desktop,Windows,Video,True,Curiosity,68,35-44,Male,Business Professionals,$100K-$200K,Low,False,2025-09-19,11,84,5,3.83,0.9704690773506733,3193,-0.3628395861219059,1.8840598699439333,7386.39,69.94,Medium,2.33,0.23268122189112644,-0.7221591284556117,764.32,0.6,-4842.8,0.6039966669910272,0.005010961478233636,False,True,False,False,False
Lead Generation,Display Network,Mobile,Windows,Video,False,Neutral,50,25-34,Male,Gamers,$50K-$100K,Medium,False,2025-08-25,10,53,6,2.32,-0.6933181252535282,155,-0.7070222493442643,-0.6028797452732028,317.38,52.66,Low,2.564,-0.3855943240522861,-0.6842620296227658,359.6,0.88,-42.22,0.8825917686318131,0.0064516129032258064,False,False,False,False,False
Lead Generation,Search,Mobile,Windows,Video,True,Trust,6,35-44,Female,Business Professionals,$50K-$100K,Low,False,2025-10-18,8,25,8,3.99,-0.42535172618992917,1253,0.8073814688341125,0.3692748542081215,22760.94,89.61,Low,4.616,0.2981938625208921,0.5531835169886317,74.62,4.55,17761.47,4.552670583081806,0.053471667996807665,True,False,False,False,False
Brand Awareness,Stories,Mobile,Android,Carousel,True,Trust,82,45-54,Female,Gamers,<$50K,High,False,2025-05-29,14,67,1,13.77,-0.6952995803539653,15,-0.7299677602257548,-0.6349470793689029,0.0,41.48,Low,0.255,4.302654021015312,-0.8540094514782213,0.0,0.0,-206.55,0.0,0.0,False,False,True,False,False
Brand Awareness,Display Network,Mobile,Android,Interactive,False,Curiosity,2,25-34,Male,Shoppers,$50K-$100K,Medium,False,2024-12-12,11,18,6,3.04,-0.43880275792943485,2086,-0.13338447730700037,0.6504470223649776,3478.66,75.16,High,7.998,-0.09078744121834101,-0.5260942768551244,243.9,0.55,-2862.78,0.5485599485290408,0.012464046021093002,True,False,False,False,False
Lead Generation,Display Network,Mobile,iOS,Text,False,Neutral,52,25-34,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2025-06-28,17,89,5,1.87,1.2169062046499077,1255,-0.569349184055321,-0.18650725470358304,1678.84,68.42,Medium,0.802,-0.5698486258235016,-0.7071581935009436,335.26,0.72,-668.01,0.7153588853143575,0.005577689243027889,False,False,False,True,False
App Installs,Stories,Tablet,Android,Image,True,Urgency,10,65+,Male,Students,$50K-$100K,High,False,2025-12-22,10,8,6,2.52,0.26705251669550356,1984,4.478663209872602,0.3693188538171388,37107.45,18.77,Low,2.43,-0.3037035232650791,2.1572308599483225,22.03,7.42,32107.77,7.421965005760367,0.11441532258064516,False,False,False,False,False
Brand Awareness,Feed,Mobile,Android,Video,True,Trust,52,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-02-25,11,14,4,2.49,-0.6701503425407253,57,-0.7299677602257548,-0.6484863876293679,0.0,69.2,Low,0.724,-0.31598714338316003,-0.8540094514782213,0.0,0.0,-141.93,0.0,0.0,False,True,False,False,False
Brand Awareness,Stories,Mobile,iOS,Story,True,Joy,59,25-34,All,Tech Enthusiasts,$50K-$100K,High,False,2025-04-18,15,84,6,1.04,-0.33194390049368294,659,-0.5005126514108493,-0.5346258755899926,1770.82,31.77,Medium,1.91,-0.9096954490904104,-0.4547740422460882,68.54,2.58,1085.46,2.5837807867398155,0.015174506828528073,False,False,False,False,False
Brand Awareness,In-Stream Video,Mobile,macOS,Interactive,False,Neutral,12,45-54,Female,Tech Enthusiasts,<$50K,Low,False,2024-07-11,5,33,4,2.59,-0.7065913340994049,78,-0.7299677602257548,-0.6358962137919904,0.0,73.19,Low,1.56,-0.27504174298955675,-0.8540094514782213,0.0,0.0,-202.02,0.0,0.0,True,False,False,False,False
Lead Generation,Stories,Desktop,Android,Carousel,True,Trust,56,25-34,Male,Business Professionals,$100K-$200K,Medium,False,2025-02-21,1,2,6,1.87,1.7620857932458123,3007,0.004288587981942991,0.4999369312336725,10935.16,45.32,Medium,1.508,-0.5698486258235016,-0.5739919989910823,175.72,1.94,5312.07,1.9446887743215917,0.010641835716661123,False,False,False,True,False
Lead Generation,Feed,Mobile,Android,Image,True,Curiosity,23,55-64,Male,Gamers,$50K-$100K,Medium,False,2025-09-21,15,18,6,1.8,-0.6231542920816402,160,-0.6152402058183021,-0.6178815167286235,1464.78,58.16,Medium,1.383,-0.5985104060990241,-0.031589771945976085,57.6,5.09,1176.78,5.086041666666667,0.03125,False,False,False,False,False
Brand Awareness,Feed,Mobile,Android,Interactive,True,Urgency,65,18-24,Female,Business Professionals,$50K-$100K,Medium,False,2025-04-27,6,50,7,4.45,-0.30158699222416585,1123,-0.4087306078848871,0.3688306676789946,2360.61,41.71,Low,3.045,0.486542704331468,-0.5258311025576741,356.95,0.47,-2636.74,0.47237235734939514,0.012466607301869992,True,False,False,False,False
App Installs,Display Network,Desktop,Windows,Interactive,True,Trust,88,35-44,All,Business Professionals,>$200K,Low,True,2024-09-27,3,19,6,5.93,-0.47775867326943855,544,0.14196165327088633,-0.0023227961377077244,16807.01,57.13,Medium,2.364,1.0925346301567993,0.9842630162122532,84.89,5.21,13581.09,5.209989708362265,0.06985294117647059,True,False,False,False,False
Conversions,Feed,Mobile,macOS,Image,True,Fear,18,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,False,2024-04-02,16,15,8,1.23,-0.5826741805105311,300,-0.5234581622923399,-0.6009102389648096,2356.34,48.06,Medium,2.033,-0.8318991883425639,-0.06448655912726589,41.0,6.39,1987.34,6.385745257452575,0.03,False,False,False,False,True
Lead Generation,Search,Desktop,Windows,Carousel,False,Trust,40,65+,Male,Gamers,$50K-$100K,Medium,False,2025-06-24,16,54,3,5.2,-0.5096397777700611,228,-0.569349184055321,-0.4298146164718411,993.32,32.56,Low,1.112,0.7936332072834941,-0.04606435830574364,169.37,0.84,-192.28,0.837820512820513,0.03070175438596491,False,False,True,False,False
Lead Generation,Feed,Mobile,iOS,Text,True,Curiosity,25,45-54,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-03-28,20,5,7,1.83,-0.11700682863729467,440,-0.6611312275812832,-0.5095167653774562,1305.59,53.14,Medium,0.856,-0.586226785980943,-0.6745245806171041,268.4,1.62,500.39,1.6214480874316939,0.006818181818181818,False,False,False,False,False
Brand Awareness,Display Network,Tablet,macOS,Text,False,Urgency,26,18-24,Male,Tech Enthusiasts,>$200K,High,True,2025-09-19,6,67,6,6.7,-0.3022474772576449,557,-0.3857850970033965,0.10369111896024985,10299.91,14.33,Medium,1.512,1.4078142131875462,-0.14528106844451363,248.79,2.76,6568.01,2.759964093357271,0.026929982046678635,True,False,False,False,False
App Installs,Stories,Mobile,Android,Video,True,Trust,85,35-44,Male,Tech Enthusiasts,$50K-$100K,Low,True,2025-07-08,6,37,6,2.09,-0.4894949842489506,460,-0.5234581622923399,-0.4767894371464964,1377.0,55.28,High,2.082,-0.4797687449575741,-0.338977351367948,106.82,1.43,415.6,1.4322862492198878,0.01956521739130435,True,False,False,False,False
Lead Generation,Feed,Mobile,macOS,Video,False,Urgency,84,25-34,Male,Business Professionals,>$200K,High,False,2024-09-20,3,67,3,6.78,-0.14840527099806713,497,-0.3857850970033965,0.027793888624892377,3435.71,53.18,Low,1.015,1.440570533502429,-0.05974942177316021,224.64,1.02,66.05,1.0196013841159048,0.030181086519114688,False,False,True,False,False
App Installs,Feed,Mobile,iOS,Text,False,Fear,89,45-54,Male,Tech Enthusiasts,$50K-$100K,Low,False,2026-01-11,7,67,2,4.28,0.1423097568147809,182,-0.7070222493442643,-0.515014621285141,278.33,84.25,High,0.253,0.41693552366234216,-0.7095267621779964,778.96,0.36,-500.63,0.35730974632843787,0.005494505494505495,True,False,False,False,False
Conversions,Display Network,Desktop,iOS,Image,True,Trust,18,25-34,Female,Business Professionals,$50K-$100K,Low,True,2024-07-25,9,69,7,1.56,-0.2129041748443465,1051,-0.20222100995147202,-0.3347000330933107,2766.45,45.51,Medium,2.396,-0.6967793670436724,-0.2781840886569244,71.29,1.69,1126.89,1.6873124496816219,0.021883920076117985,False,False,False,True,False
Brand Awareness,Stories,Mobile,Windows,Text,False,Trust,69,35-44,Male,Shoppers,$50K-$100K,High,False,2025-10-24,3,35,5,6.61,-0.3189501276235089,645,-0.13338447730700037,0.21506251026093234,3182.44,39.07,Medium,1.816,1.3709633528333032,0.20684614154401235,163.98,0.75,-1081.01,0.7464471261537019,0.040310077519379844,True,False,False,False,False
Lead Generation,In-Stream Video,Mobile,iOS,Video,False,Neutral,34,35-44,Female,Shoppers,$50K-$100K,High,False,2025-06-26,6,81,4,2.61,0.10205827467833754,1663,0.2796347185598297,0.2311915097949867,7309.72,29.98,Medium,2.422,-0.26685266291083604,-0.15765026042467864,98.65,1.68,2969.29,1.6841004232299563,0.026458208057727,True,False,False,False,False
Lead Generation,Sidebar,Mobile,macOS,Interactive,True,Joy,38,65+,Female,Shoppers,<$50K,Low,False,2025-07-22,5,44,8,2.63,1.856776484103239,5375,0.2796347185598297,2.2836307955273765,4845.66,60.94,High,2.599,-0.2586635828321153,-0.6384697018664104,321.28,0.34,-9290.59,0.34278256256079226,0.008186046511627907,True,False,False,False,False
Lead Generation,Feed,Tablet,iOS,Carousel,False,Trust,85,35-44,Female,Students,$50K-$100K,Medium,False,2025-08-03,14,35,7,2.33,3.4917182730337695,5381,1.5875288388047915,1.9487057716877245,20957.94,41.34,High,1.604,-0.38149978401292567,-0.3600312951639735,124.14,1.67,8420.21,1.671589673728817,0.018769745400483182,False,True,False,False,False
Lead Generation,In-Stream Video,Mobile,macOS,Image,False,Urgency,54,35-44,Male,Tech Enthusiasts,<$50K,Medium,False,2025-10-05,17,10,6,2.4,2.045827623301353,6471,3.0560415352201873,2.575735818915293,35562.07,69.04,Medium,2.919,-0.3528380037374033,-0.18291499297990924,94.12,2.29,20031.67,2.2898360634626282,0.025498377375985166,True,False,False,False,False
Lead Generation,Stories,Mobile,macOS,Carousel,True,Trust,74,25-34,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-10-26,2,75,4,7.95,4.421528780549137,2515,2.0005480346716213,3.511010365162215,39091.14,69.02,Medium,0.615,1.9196317181075897,0.3913313240566857,168.02,1.96,19096.89,1.9551190967403127,0.04731610337972167,True,False,False,False,False
Lead Generation,Stories,Mobile,Android,Text,True,Neutral,66,18-24,Male,Gamers,$100K-$200K,Medium,False,2024-04-06,10,1,3,12.06,0.12565791298995374,414,-0.5234581622923399,0.36788572369486117,1866.03,58.07,Low,0.587,3.6024876742846925,-0.2818685288212289,554.76,0.37,-3126.81,0.37374119739466916,0.021739130434782608,False,False,True,False,False
Conversions,In-Stream Video,Mobile,Windows,Image,True,Fear,10,55-64,Female,Gamers,$50K-$100K,Medium,False,2025-11-09,7,71,6,2.41,-0.14559820960578124,1683,1.816983947619697,0.17160346786870673,21607.92,57.51,Medium,3.423,-0.3487434636980429,0.8816250402066289,36.54,5.33,17551.89,5.327357046175694,0.0659536541889483,True,False,False,False,False
Conversions,In-Stream Video,Desktop,iOS,Carousel,True,Curiosity,25,35-44,Female,Gamers,<$50K,Low,False,2025-04-26,21,63,6,1.37,-0.2237386697204545,2162,0.6697084035451691,-0.05763239989192497,12629.1,55.29,High,5.026,-0.774575627791519,-0.11159475837087285,48.56,4.26,9667.16,4.2637933246453334,0.028214616096207217,False,False,False,False,False
Brand Awareness,Display Network,Mobile,macOS,Video,True,Curiosity,21,45-54,Male,Tech Enthusiasts,$100K-$200K,Low,False,2025-07-12,0,15,6,2.08,-0.5723985575858285,368,-0.6840767384627737,-0.517847358018064,697.92,76.5,High,2.364,-0.4838632849969344,-0.7111058079626983,382.72,0.91,-67.52,0.9117892976588627,0.005434782608695652,False,False,False,False,False
Lead Generation,Feed,Mobile,Windows,Interactive,True,Urgency,54,35-44,All,Shoppers,$100K-$200K,Low,False,2024-09-11,1,59,7,1.87,-0.05964624380669253,1278,-0.5464036731738304,-0.17749571573294548,3405.08,70.15,High,2.285,-0.5698486258235016,-0.689262341274322,298.73,1.42,1015.22,1.4248031265429772,0.006259780907668232,False,False,False,False,False
Lead Generation,Search,Mobile,iOS,Interactive,True,Neutral,16,25-34,Female,Tech Enthusiasts,<$50K,Low,False,2025-08-23,3,87,4,1.44,2.4340277017286542,7943,0.46319880561175414,1.7182714383862412,12243.14,70.93,High,3.149,-0.7459138475159967,-0.6816302866482625,219.96,1.07,805.22,1.0703991634842698,0.006546644844517185,False,False,False,True,False
Lead Generation,Search,Mobile,Android,Image,False,Urgency,60,25-34,Male,Shoppers,$50K-$100K,Medium,False,2025-08-07,6,64,5,0.88,-0.6133613312967876,105,-0.7070222493442643,-0.6588640096990185,256.82,49.67,Low,0.851,-0.9752080897201761,-0.6034675203055181,92.4,2.78,164.42,2.7794372294372294,0.009523809523809525,False,False,False,False,False
Lead Generation,Search,Mobile,Android,Image,True,Trust,57,55-64,Female,Health & Fitness,<$50K,Medium,False,2024-02-02,10,30,7,3.93,-0.481912107999201,233,-0.6611312275812832,-0.4863666853759277,397.12,62.85,Medium,1.027,0.27362662228472995,-0.515040956362211,305.23,0.43,-518.57,0.43368388865227314,0.012875536480686695,False,False,True,False,False
Lead Generation,In-Stream Video,Tablet,iOS,Video,True,Curiosity,88,35-44,Female,Business Professionals,$50K-$100K,Medium,False,2026-01-10,2,79,6,2.33,-0.7065913340994049,127,-0.7070222493442643,-0.6162241981223053,239.05,45.81,Medium,2.54,-0.38149978401292567,-0.6468912793848206,295.91,0.81,-56.86,0.8078469805008279,0.007874015748031496,False,False,False,True,False
Lead Generation,Feed,Desktop,macOS,Carousel,True,Neutral,19,18-24,Male,Gamers,$100K-$200K,High,False,2025-08-13,7,34,8,2.35,-0.09336908541990083,2895,3.101932556983168,0.7472063530329642,38019.1,30.49,Medium,5.434,-0.37331070393420496,0.664243070512666,40.74,5.59,31215.85,5.58837320398339,0.05768566493955095,False,False,False,False,False
Lead Generation,Stories,Mobile,macOS,Image,True,Joy,18,35-44,Male,Health & Fitness,$50K-$100K,Medium,False,2025-12-03,3,58,4,0.97,0.09993710159004911,2155,-0.041602433781038124,-0.24024963428899376,4288.04,63.3,Low,3.146,-0.9383572293659329,-0.487670829427378,69.68,2.05,2197.69,2.051350252350085,0.013921113689095127,False,False,False,True,False
Conversions,Search,Mobile,macOS,Story,False,Fear,84,18-24,Female,Business Professionals,$50K-$100K,High,False,2025-03-05,11,47,2,2.72,5.580718119210617,2573,0.25668920767833914,0.7881280846385259,7560.18,42.88,High,0.515,-0.22181272247787207,-0.4142452004387391,162.76,1.08,561.62,1.0802479367184106,0.01671200932763311,False,False,False,True,False
Conversions,In-Stream Video,Desktop,iOS,Video,True,Urgency,85,25-34,Female,Students,$100K-$200K,Medium,False,2024-01-17,1,51,5,3.29,-0.0045465500522301585,1426,1.9087659911456591,0.3047567608524274,39862.08,38.31,Medium,2.366,0.011576059765667671,1.268491257458597,40.8,8.5,35170.54,8.496587474475332,0.08064516129032258,True,False,False,False,False
Conversions,In-Stream Video,Desktop,Android,Video,True,Joy,75,35-44,All,Shoppers,$100K-$200K,Low,False,2024-01-01,17,71,4,2.56,-0.30242530015127383,619,-0.5234581622923399,-0.3462069784610719,2835.07,82.19,Medium,1.681,-0.2873253631076377,-0.4713540229854582,176.07,1.79,1250.43,1.789094052907916,0.014539579967689823,False,True,False,False,False
Engagement,In-Stream Video,Tablet,Android,Video,True,Urgency,20,18-24,All,Business Professionals,$100K-$200K,Medium,False,2024-04-08,2,57,6,1.82,0.9372034946067966,4618,1.2662916864639238,1.0827578474962436,20063.93,38.38,Medium,3.436,-0.5903213260203034,-0.3581890750818213,96.61,2.39,11659.17,2.387210342710559,0.018839324382849718,False,False,False,False,False
Lead Generation,Search,Mobile,Windows,Image,False,Joy,89,25-34,Male,Students,$100K-$200K,Medium,True,2024-07-03,18,82,3,2.04,0.35733574011798364,387,-0.6152402058183021,-0.5128104503953221,1281.28,44.34,Medium,0.436,-0.5002414451543757,-0.5139882591724098,157.9,1.62,491.8,1.6229416831332015,0.012919896640826873,False,False,False,True,False
App Installs,Search,Mobile,Android,Story,False,Urgency,48,18-24,Female,Business Professionals,<$50K,Low,False,2024-03-01,18,14,5,7.08,-0.15342241692545594,585,-0.6381857166997926,0.18957416532305632,766.25,89.57,Low,1.205,1.5634067346832394,-0.6739982320222033,1035.45,0.19,-3375.55,0.1850041044956299,0.006837606837606838,True,False,False,False,False
Conversions,Feed,Mobile,iOS,Carousel,True,Urgency,48,35-44,All,Business Professionals,$100K-$200K,High,False,2024-05-08,17,61,7,2.76,1.7086373120750475,3163,0.6008718709006975,1.1508776231329245,19689.78,33.6,High,1.621,-0.20543456232043084,-0.37134778995433715,150.52,2.26,10959.9,2.2554468102654335,0.01833702181473285,False,True,False,False,False
Conversions,Feed,Desktop,macOS,Image,True,Joy,67,35-44,Male,Students,$100K-$200K,Medium,True,2024-01-14,0,1,5,4.31,-0.23834555026854848,509,0.9909455558860369,-0.21857668401876026,13540.39,27.51,Medium,1.216,0.4292191437804229,3.023863821452221,29.25,6.17,11346.6,6.172145009321767,0.14734774066797643,True,False,False,False,False
Engagement,In-Stream Video,Mobile,Windows,Image,True,Joy,70,25-34,Female,Gamers,$50K-$100K,High,True,2024-04-10,14,83,6,2.76,-0.6849858525234851,65,-0.6840767384627737,-0.6406356002489961,325.37,49.76,Medium,0.97,-0.20543456232043084,-0.04422213822359138,89.7,1.81,145.97,1.8136566332218507,0.03076923076923077,True,False,False,False,False
App Installs,Search,Desktop,iOS,Interactive,True,Urgency,56,65+,Male,Shoppers,$50K-$100K,Low,False,2025-01-31,8,22,4,1.78,1.1992763349101212,1144,-0.2940030534774343,-0.25157010512330075,5920.9,67.15,Medium,0.738,-0.6066994861777448,-0.4168769434132423,107.17,2.91,3884.58,2.907647128152746,0.016608391608391608,False,False,False,False,False
App Installs,Stories,Desktop,Android,Interactive,True,Urgency,72,35-44,Male,Business Professionals,$100K-$200K,Low,True,2025-06-23,0,86,5,1.57,-0.2876278950742917,581,-0.4546216296478682,-0.4871042026318366,5187.47,56.75,Medium,1.53,-0.6926848270043121,-0.31055452724331367,76.01,5.69,4275.3,5.686955282458314,0.020654044750430294,False,False,False,False,True
App Installs,Feed,Tablet,iOS,Image,False,Joy,90,45-54,Male,Business Professionals,$100K-$200K,Medium,False,2024-09-02,1,35,4,1.5,0.6013468550827086,664,-0.6381857166997926,-0.46953997775602774,1394.56,38.22,Medium,0.615,-0.7213466072798346,-0.6955785244131295,249.0,1.4,398.56,1.400160642570281,0.006024096385542169,False,False,False,True,False
Lead Generation,Display Network,Desktop,Android,Image,True,Urgency,53,65+,Female,Students,$100K-$200K,High,False,2025-05-11,2,45,7,4.05,-0.5748118682850787,195,-0.5234581622923399,-0.5127538794694428,3170.66,36.49,Low,1.268,0.322761102757054,0.36053993125499845,87.75,4.01,2380.91,4.014764165875277,0.046153846153846156,False,True,False,False,False
Lead Generation,Stories,Mobile,Android,Image,True,Joy,17,35-44,Male,Gamers,$100K-$200K,Low,False,2025-02-12,20,18,6,3.54,-0.4857225985769646,208,-0.7070222493442643,-0.523948637135129,448.2,68.0,Medium,0.929,0.11393956074967636,-0.7274226144046181,736.32,0.61,-288.12,0.608702737940026,0.004807692307692308,True,False,False,False,False
App Installs,Feed,Mobile,iOS,Interactive,False,Joy,7,18-24,All,Students,<$50K,Low,False,2025-06-12,17,27,5,0.99,0.3458280585731374,3112,-0.3169485643589248,-0.03271185943231969,2231.86,83.66,Medium,3.542,-0.9301681492872124,-0.7018947075519372,171.16,0.72,-849.02,0.7244228921606813,0.005784061696658098,False,False,False,False,False
Brand Awareness,Sidebar,Tablet,Other,Image,True,Joy,32,18-24,Female,Tech Enthusiasts,>$200K,Medium,True,2025-10-30,15,27,8,3.14,-0.4492816070182849,2020,2.9872050025757155,0.6507319722138517,38529.0,29.72,Medium,7.997,-0.049842040824737505,1.2566484140733325,39.15,6.07,32186.2,6.074446616636186,0.0801980198019802,False,False,False,False,False
Brand Awareness,Search,Desktop,Android,Image,True,Joy,39,45-54,Male,Business Professionals,$50K-$100K,Medium,False,2025-01-25,22,1,6,2.32,1.5461579938392056,4338,0.4861443164932447,1.430438567511957,16729.92,45.32,Medium,2.379,-0.3855943240522861,-0.5324104599939321,189.89,1.66,6665.76,1.6623265130920015,0.012217611802674043,True,False,False,False,False
Lead Generation,Stories,Desktop,macOS,Interactive,True,Joy,25,35-44,Male,Students,>$200K,Medium,True,2024-08-25,22,14,5,4.07,-0.5531809834386404,455,0.2796347185598297,-0.29022061881577915,24762.78,50.33,Low,2.664,0.3309501828357749,1.690886004866358,42.09,13.37,22910.93,13.371914571914571,0.0967032967032967,False,True,False,False,False
App Installs,Feed,Mobile,Android,Image,False,Trust,81,18-24,Female,Business Professionals,<$50K,Low,False,2025-03-09,3,75,4,9.24,-0.6142631474001917,113,-0.7299677602257548,-0.4594577816326361,0.0,64.05,Low,0.921,2.447827383185074,-0.8540094514782213,0.0,0.0,-1044.12,0.0,0.0,False,False,True,False,False
Lead Generation,Feed,Mobile,Android,Image,True,Joy,11,35-44,All,Gamers,$100K-$200K,Low,False,2024-10-12,1,26,5,1.3,-0.34418827688356346,1916,1.358073729989886,-0.15634657033196553,34168.77,54.03,Medium,5.714,-0.8032374080670415,0.395805287113341,27.37,13.72,31677.97,13.717990203950535,0.04749478079331942,False,False,False,False,True
Conversions,In-Stream Video,Desktop,iOS,Carousel,True,Curiosity,38,35-44,Female,Gamers,$100K-$200K,Medium,False,2025-04-04,13,5,7,1.59,-0.4545908905566356,1043,-0.06454794466252868,-0.33075892525704725,6070.36,28.98,High,4.199,-0.6844957469255913,-0.122384904566336,57.19,3.66,4411.99,3.6604376586648337,0.027804410354745925,False,False,False,False,False
Lead Generation,In-Stream Video,Desktop,iOS,Carousel,False,Curiosity,27,35-44,All,Business Professionals,$50K-$100K,High,True,2025-03-21,21,53,5,1.12,-0.69635381608048,83,-0.5922946949368115,-0.6587466774083057,1491.08,13.04,Medium,1.43,-0.8769391287755277,1.0484775447901309,15.49,16.04,1398.12,16.040017211703958,0.07228915662650602,False,False,False,False,True
Conversions,Search,Desktop,Android,Image,False,Curiosity,6,25-34,Female,Gamers,$50K-$100K,Medium,False,2025-04-13,23,81,5,2.47,-0.7048385084336337,184,-0.5464036731738304,-0.5830003028752934,2390.25,48.37,Low,3.581,-0.32417622346188074,0.29027239383576336,56.81,5.26,1935.77,5.2593073402569965,0.043478260869565216,False,False,False,False,False
Brand Awareness,Stories,Mobile,Windows,Carousel,True,Neutral,34,25-34,Male,Health & Fitness,$100K-$200K,Low,False,2024-03-20,9,53,5,1.21,-0.6259105469328893,237,-0.7299677602257548,-0.6181392287242962,0.0,66.38,Medium,2.088,-0.8400882684212846,-0.8540094514782213,0.0,0.0,-286.77,0.0,0.0,False,False,False,True,False
Brand Awareness,Search,Mobile,Windows,Video,True,Joy,30,25-34,Male,Business Professionals,$50K-$100K,High,True,2024-01-23,19,9,6,6.52,-0.7065913340994049,170,-0.6381857166997926,-0.44598971083438965,1189.64,41.08,Low,3.4,1.3341124924790597,-0.23476032957762186,277.1,1.07,81.24,1.0732948394081558,0.023529411764705882,False,False,True,False,False
Lead Generation,Stories,Desktop,Android,Image,False,Urgency,62,25-34,Female,Business Professionals,>$200K,Medium,False,2025-07-15,1,85,4,5.92,0.056738840073468536,755,-0.2940030534774343,0.25825545977957737,10893.16,35.56,Medium,1.16,1.088440090117439,-0.19159974479576972,235.24,2.44,6423.56,2.437166636835511,0.025165562913907286,True,False,False,False,False
Lead Generation,Feed,Desktop,Android,Video,True,Curiosity,67,55-64,Female,Business Professionals,<$50K,Medium,False,2024-09-19,8,51,4,8.07,-0.7065913340994049,54,-0.6381857166997926,-0.5869183632973096,364.66,34.35,Low,1.08,1.9687661985799136,1.0953225697362876,108.94,0.84,-71.12,0.8367983845059435,0.07407407407407407,True,False,False,False,False
Brand Awareness,In-Stream Video,Desktop,macOS,Video,False,Urgency,55,18-24,All,Students,$50K-$100K,Low,False,2024-06-22,2,89,6,0.99,-0.5036573075629722,1262,-0.4087306078848871,-0.4164513066474454,1994.34,46.74,Low,6.016,-0.9301681492872124,-0.562149155605818,89.24,1.6,744.96,1.5962637468184218,0.011093502377179081,False,False,False,True,False
App Installs,In-Stream Video,Desktop,iOS,Video,True,Fear,83,18-24,Female,Business Professionals,<$50K,High,False,2025-08-12,21,15,6,2.39,-0.4876786504068833,918,1.3351282191083953,-0.21852849397078894,18990.17,29.31,Medium,4.129,-0.35693254377676353,1.726151360724701,24.38,8.66,16796.15,8.655422466522639,0.09803921568627451,False,False,False,False,False
Lead Generation,Search,Desktop,Android,Video,True,Urgency,59,18-24,Female,Business Professionals,$100K-$200K,Medium,False,2024-08-03,12,45,10,5.03,-0.3666828729276282,994,1.036836577649018,0.3693481868898169,18078.47,50.9,Low,3.13,0.7240260266143682,1.1845386565719456,64.93,3.62,13078.65,3.6158241696701086,0.07746478873239436,False,False,True,False,False
Brand Awareness,Feed,Desktop,Android,Image,False,Joy,50,25-34,All,Business Professionals,$100K-$200K,Low,False,2024-01-26,22,75,7,0.52,0.08804837098742653,817,-0.6381857166997926,-0.5892105334051629,744.23,61.18,Low,1.209,-1.1226115311371485,-0.7250540457275652,106.21,1.75,319.39,1.751788908765653,0.004895960832313341,False,False,False,False,False
